title,category,level,description,tags
Mobile App Development with Kotlin,Technical,Intermediate,"Develop Android apps using Kotlin.","kotlin, mobile app, technical, programming"
IELTS Speaking Intensive,English/IELTS,Intermediate,"Intensive IELTS speaking practice with feedback.","ielts, speaking, english, exam"
IELTS Writing Task 1 Prep,English/IELTS,Intermediate,"Prepare for IELTS Writing Task 1 with examples.","ielts, writing, task 1, english"
IELTS Listening Mastery,English/IELTS,Beginner,"Master IELTS listening with practice tests.","ielts, listening, english, exam"
IELTS Reading Skills,English/IELTS,Intermediate,"Develop reading skills for IELTS success.","ielts, reading, english, exam"
English Grammar for Beginners,English/IELTS,Beginner,"Learn essential grammar for IELTS and general English.","ielts, grammar, english, language"
Freelancing with UI/UX Design,Technical,Beginner,"Learn UI/UX design for freelancing opportunities.","ui/ux, freelancing, technical, design"
Video Editing with DaVinci Resolve,Technical,Intermediate,"Create professional videos with DaVinci Resolve.","video editing, davinci resolve, technical, content creation"
Cloud Computing Fundamentals,Technical,Beginner,"Introduction to cloud computing with AWS basics.","aws, cloud computing, technical, infrastructure"
AI Programming with Python,Technical,Intermediate,"Learn AI programming techniques with Python.","ai, python, technical, programming"
CSS Precis Writing Mastery,CSS,Intermediate,"Master precis writing for CSS exams with practice.","css, precis, writing, exam"
MDCAT Biology Practice Tests,MDCAT,Intermediate,"Practice biology tests for MDCAT preparation.","mdcat, biology, practice, exam"
ISSB Leadership Skills Prep,ISSB,Intermediate,"Develop leadership skills for ISSB selection.","issb, leadership, military, preparation"
Blockchain for Beginners,Technical,Beginner,"Introduction to blockchain technology and applications.","blockchain, technical, cryptocurrency, programming"
IELTS Vocabulary Essentials,English/IELTS,Beginner,"Build essential vocabulary for IELTS success.","ielts, vocabulary, english, exam"
CSS Optional - Constitutional Law,CSS,Advanced,"Study constitutional law for CSS optional subject.","css, constitutional law, optional, exam"
MDCAT Organic Chemistry Intensive,MDCAT,Advanced,"Intensive organic chemistry prep for MDCAT.","mdcat, organic chemistry, medical, exam"
ISSB Obstacle Course Training,ISSB,Beginner,"Train for ISSB obstacle course with practical exercises.","issb, obstacle, military, fitness"
Web Development with Node.js,Technical,Intermediate,"Build web apps with Node.js and JavaScript.","node.js, web development, technical, programming"
Digital Marketing Strategies,Technical,Beginner,"Learn digital marketing with focus on SEO and ads.","digital marketing, seo, technical, marketing"
IELTS Academic Writing Prep,English/IELTS,Intermediate,"Prepare for IELTS academic writing with sample essays.","ielts, academic writing, english, exam"
CSS General Science Practice,CSS,Beginner,"Practice general science MCQs for CSS exams.","css, general science, mcqs, exam"
MDCAT Physics Intensive Prep,MDCAT,Intermediate,"Intensive physics prep for MDCAT with practice.","mdcat, physics, medical, exam"
ISSB Group Planning Skills,ISSB,Intermediate,"Master group planning tasks for ISSB.","issb, group planning, military, leadership"
SQL for Beginners,Technical,Beginner,"Learn SQL for database management and querying.","sql, database, technical, programming"
IELTS Test Prep Comprehensive,English/IELTS,Advanced,"Comprehensive IELTS prep for all modules.","ielts, test prep, english, exam"
CSS Optional - International Relations Intro,CSS,Beginner,"Introduction to international relations for CSS.","css, international relations, optional, exam"
MDCAT Chemistry Full Prep,MDCAT,Advanced,"Complete chemistry prep for MDCAT exam.","mdcat, chemistry, full prep, exam"
ISSB Verbal Intelligence Training,ISSB,Beginner,"Prepare for ISSB verbal intelligence tests.","issb, verbal intelligence, military, exam"
Deep Learning with Keras,Technical,Advanced,"Build deep learning models with Keras.","keras, deep learning, technical, ai"
IELTS Speaking Practice Series,English/IELTS,Intermediate,"Practice IELTS speaking with mock tests.","ielts, speaking, practice, english"
CSS Optional - incent History,CSS,Intermediate,"Study ancient history for CSS optional subject.","css, history, ancient, optional"
MDCollision Chemistry Crash Prep,MDCAT,Intermediate,"Crash course for MDCAT chemistry preparation.","mdcat, chemistry, crash course, exam"
ISSB Non-Verbal Intelligence Prep,ISSB,Beginner,"Master non-verbal intelligence for ISSB.","issb, non-verbal, intelligence, military"
Game Development with Godot,Technical,Intermediate,"Create games using Godot engine.","godot, game development, technical, programming"
IELTS Writing Task 2 Prep,English/IELTS,Advanced,"Prepare for IELTS Writing Task 2 with strategies.","ielts, writing, task 2, english"
CSS Optional - Political Science Basics,CSS,Beginner,"Introduction to political science for CSS.","css, political science, optional, exam"
MDCAT Physics Full Syllabus,MDCAT,Advanced,"Complete physics syllabus for MDCAT prep.","mdcat, physics, full syllabus, exam"
ISSB Physical Test Mastery,ISSB,Beginner,"Master ISSB physical tests with training.","issb, physical, military, fitness"
Frontend Development with Angular,Technical,Intermediate,"Build web apps with Angular framework.","angular, frontend, technical, programming"
IELTS Listening Skills Prep,English/IELTS,Intermediate,"Prepare for IELTS listening with strategies.","ielts, listening, strategies, english"
CSS Optional - Economics Intro,CSS,Beginner,"Introduction to economics for CSS optional.","css, economics, optional, exam"
MDCAT Biology Intensive Course,MDCAT,Intermediate,"Intensive biology course for MDCAT prep.","mdcat, biology, intensive, exam"
ISSB Leadership Training Course,ISSB,Intermediate,"Develop leadership for ISSB with practical exercises.","issb, leadership, military, preparation"
Cybersecurity with Penetration Testing,Technical,Advanced,"Learn penetration testing for cybersecurity.","penetration testing, cybersecurity, technical, security"
IELTS Reading Practice Series,English/IELTS,Intermediate,"Practice reading tests for IELTS preparation.","ielts, reading, practice, english"
CSS Essay Writing Skills,CSS,Intermediate,"Develop essay writing skills for CSS exams.","css, essay, writing, exam"
MDCAT Chemistry Practice Tests,MDCAT,Intermediate,"Practice chemistry tests for MDCAT prep.","mdcat, chemistry, practice, exam"
ISSB Group Discussion Mastery,ISSB,Intermediate,"Master group discussions for ISSB selection.","issb, group discussion, military, leadership"
Data Science with Pandas,Technical,Intermediate,"Learn data science with pandas in Python.","data science, pandas, technical, programming"
IELTS Vocabulary Practice,English/IELTS,Intermediate,"Practice vocabulary for IELTS success.","ielts, vocabulary, practice, english"
CSS Optional - Public Administration Intro,CSS,Beginner,"Introduction to public administration for CSS.","css, public administration, optional, exam"
MDCAT Physics Crash Course,MDCAT,Intermediate,"Crash course for MDCAT physics preparation.","mdcat, physics, crash course, exam"
ISSB Command Task Prep Course,ISSB,Intermediate,"Prepare for ISSB command tasks with exercises.","issb, command tasks, military, leadership"
Web Development with PHP,Technical,Intermediate,"Build web apps with PHP and MySQL.","php, web development, technical, programming"
IELTS Speaking Skills Booster,English/IELTS,Intermediate,"Boost IELTS speaking skills with practice.","ielts, speaking, skills, english"
CSS Optional - Gender Studies Intro,CSS,Beginner,"Introduction to gender studies for CSS.","css, gender studies, optional, exam"
MDCAT Biology Mock Test Series,MDCAT,Advanced,"Series of biology mock tests for MDCAT.","mdcat, biology, mock test, exam"
ISSB Psychological Test Prep Course,ISSB,Intermediate,"Prepare for ISSB psychological tests with practice.","issb, psychological, military, preparation"
Mobile App Development with Ionic,Technical,Intermediate,"Build mobile apps with Ionic framework.","ionic, mobile app, technical, programming"
IELTS Writing Skills Intensive,English/IELTS,Advanced,"Intensive writing skills for IELTS success.","ielts, writing, intensive, english"
CSS Optional - Environmental Science Intro,CSS,Beginner,"Introduction to environmental science for CSS.","css, environmental science, optional, exam"
MDCAT Chemistry Intensive Course,MDCAT,Intermediate,"Intensive chemistry course for MDCAT prep.","mdcat, chemistry, intensive, exam"
ISSB Physical Endurance Prep,ISSB,Beginner,"Train for ISSB physical endurance tests.","issb, physical, endurance, military"
Cloud Computing with IBM Cloud,Technical,Advanced,"Learn cloud computing with IBM Cloud.","ibm cloud, cloud computing, technical, infrastructure"
IELTS Reading Skills Intensive,English/IELTS,Intermediate,"Intensive reading skills for IELTS success.","ielts, reading, intensive, english"
CSS Optional - Anthropology Intro,CSS,Beginner,"Introduction to anthropology for CSS optional.","css, anthropology, optional, exam"
MDCAT Physics Practice Tests,MDCAT,Intermediate,"Practice physics tests for MDCAT prep.","mdcat, physics, practice, exam"
ISSB Interview Skills Course,ISSB,Advanced,"Develop interview skills for ISSB with mock sessions.","issb, interview, military, preparation"
Python for Automation,Technical,Intermediate,"Learn automation with Python scripting.","python, automation, technical, programming"
IELTS Listening Practice Tests,English/IELTS,Intermediate,"Practice listening tests for IELTS preparation.","ielts, listening, practice, english"
CSS Optional - Criminology Intro,CSS,Beginner,"Introduction to criminology for CSS optional.","css, criminology, optional, exam"
MDCAT Biology Practice Series,MDCAT,Intermediate,"Series of biology practice tests for MDCAT.","mdcat, biology, practice, exam"
ISSB Obstacle Course Prep Course,ISSB,Beginner,"Prepare for ISSB obstacle course with training.","issb, obstacle, military, fitness"
Data Visualization with Power BI,Technical,Intermediate,"Learn data visualization with Power BI.","power bi, data visualization, technical, analytics"
IELTS Speaking Test Preparation,English/IELTS,Intermediate,"Prepare for IELTS speaking with mock tests.","ielts, speaking, test prep, english"
CSS Optional - Psychology Intro,CSS,Beginner,"Introduction to psychology for CSS optional.","css, psychology, optional, exam"
MDCAT Chemistry Mock Test Series,MDCAT,Advanced,"Series of chemistry mock tests for MDCAT.","mdcat, chemistry, mock test, exam"
ISSB Group Planning Prep Course,ISSB,Intermediate,"Prepare for ISSB group planning with exercises.","issb, group planning, military, leadership"
Web Scraping with Scrapy,Technical,Intermediate,"Learn web scraping with Scrapy in Python.","scrapy, web scraping, technical, programming"
IELTS Writing Task 1 Strategies,English/IELTS,Intermediate,"Strategies for IELTS Writing Task 1 success.","ielts, writing, task 1, english"
CSS Optional - Sociology Intro,CSS,Beginner,"Introduction to sociology for CSS optional.","css, sociology, optional, exam"
MDCAT Physics Intensive Course,MDCAT,Intermediate,"Intensive physics course for MDCAT prep.","mdcat, physics, intensive, exam"
ISSB Leadership Skills Course,ISSB,Intermediate,"Develop leadership skills for ISSB with training.","issb, leadership, military, preparation"
Cybersecurity with Network Security,Technical,Advanced,"Learn network security for cybersecurity.","network security, cybersecurity, technical, security"
IELTS Reading Test Prep,English/IELTS,Intermediate,"Prepare for IELTS reading with practice tests.","ielts, reading, test prep, english"
CSS Essay Writing Intensive,CSS,Intermediate,"Intensive essay writing course for CSS exams.","css, essay, intensive, exam"
MDCAT Biology Full Course,MDCAT,Advanced,"Full biology course for MDCAT preparation.","mdcat, biology, full course, exam"
ISSB Physical Test Prep Course,ISSB,Beginner,"Prepare for ISSB physical tests with training.","issb, physical, military, fitness"
Frontend Development with Bootstrap,Technical,Beginner,"Build responsive websites with Bootstrap.","bootstrap, frontend, technical, web development"
IELTS Listening Skills Intensive,English/IELTS,Intermediate,"Intensive listening skills for IELTS success.","ielts, listening, intensive, english"
CSS Optional - History of Pakistan Intro,CSS,Beginner,"Introduction to Pakistan’s history for CSS.","css, history, pakistan, optional"
MDCAT Chemistry Practice Series,MDCAT,Intermediate,"Series of chemistry practice tests for MDCAT.","mdcat, chemistry, practice, exam"
ISSB Command Task Mastery,ISSB,Intermediate,"Master ISSB command tasks with practice.","issb, command tasks, military, leadership"
Data Science with Jupyter,Technical,Intermediate,"Learn data science with Jupyter notebooks.","jupyter, data science, technical, programming"
IELTS Vocabulary Skills,English/IELTS,Intermediate,"Develop vocabulary skills for IELTS success.","ielts, vocabulary, skills, english"
CSS Optional - Public Policy Intro,CSS,Beginner,"Introduction to public policy for CSS optional.","css, public policy, optional, exam"
MDCAT Physics Mock Test Series,MDCAT,Advanced,"Series of physics mock tests for MDCAT.","mdcat, physics, mock test, exam"
ISSB Psychological Test Skills,ISSB,Intermediate,"Develop skills for ISSB psychological tests.","issb, psychological, military, preparation"
Mobile App Development with Xamarin,Technical,Intermediate,"Build mobile apps with Xamarin framework.","xamarin, mobile app, technical, programming"
IELTS Writing Skills Prep,English/IELTS,Advanced,"Prepare for IELTS writing with practice essays.","ielts, writing, prep, english"
CSS Optional - Environmental Studies,CSS,Intermediate,"Study environmental studies for CSS optional.","css, environmental studies, optional, exam"
MDCAT Biology Intensive Prep,MDCAT,Intermediate,"Intensive biology prep for MDCAT exam.","mdcat, biology, intensive, exam"
ISSB Group Discussion Prep Course,ISSB,Beginner,"Prepare for ISSB group discussions with practice.","issb, group discussion, military, leadership"
Cloud Computing with Oracle Cloud,Technical,Advanced,"Learn cloud computing with Oracle Cloud.","oracle cloud, cloud computing, technical, infrastructure"
IELTS Reading Skills Prep,English/IELTS,Intermediate,"Prepare for IELTS reading with strategies.","ielts, reading, prep, english"
CSS Optional - Anthropology Basics,CSS,Beginner,"Basics of anthropology for CSS optional.","css, anthropology, optional, exam"
MDCAT Chemistry Full Course,MDCAT,Advanced,"Full chemistry course for MDCAT preparation.","mdcat, chemistry, full course, exam"
ISSB Physical Endurance Course,ISSB,Beginner,"Train for ISSB physical endurance with exercises.","issb, physical, endurance, military"
Python for Machine Learning,Technical,Intermediate,"Learn Python for machine learning applications.","python, machine learning, technical, ai"
IELTS Speaking Skills Intensive,English/IELTS,Intermediate,"Intensive speaking skills for IELTS success.","ielts, speaking, intensive, english"
CSS Optional - Criminology Basics,CSS,Beginner,"Basics of criminology for CSS optional.","css, criminology, optional, exam"
MDCAT Physics Practice Series,MDCAT,Intermediate,"Series of physics practice tests for MDCAT.","mdcat, physics, practice, exam"
ISSB Interview Prep Course,ISSB,Advanced,"Prepare for ISSB interviews with mock sessions.","issb, interview, military, preparation"
Web Development with Django REST,Technical,Intermediate,"Build REST APIs with Django REST framework.","django rest, web development, technical, programming"
IELTS Listening Test Prep,English/IELTS,Intermediate,"Prepare for IELTS listening with mock tests.","ielts, listening, test prep, english"
CSS Optional - Psychology Basics,CSS,Beginner,"Basics of psychology for CSS optional.","css, psychology, optional, exam"
MDCAT Biology Mock Tests,MDCAT,Advanced,"Practice biology mock tests for MDCAT prep.","mdcat, biology, mock test, exam"
ISSB Obstacle Course Skills,ISSB,Beginner,"Develop skills for ISSB obstacle course.","issb, obstacle, military, fitness"
Data Visualization with Plotly,Technical,Intermediate,"Learn data visualization with Plotly in Python.","plotly, data visualization, technical, analytics"
IELTS Writing Task 2 Intensive,English/IELTS,Advanced,"Intensive prep for IELTS Writing Task 2.","ielts, writing, task 2, english"
CSS Optional - Sociology Basics,CSS,Beginner,"Basics of sociology for CSS optional.","css, sociology, optional, exam"
MDCAT Chemistry Intensive Prep,MDCAT,Intermediate,"Intensive chemistry prep for MDCAT exam.","mdcat, chemistry, intensive, exam"
ISSB Leadership Prep Course,ISSB,Intermediate,"Prepare for ISSB leadership with exercises.","issb, leadership, military, preparation"
Cybersecurity with Ethical Hacking Intro,Technical,Beginner,"Introduction to ethical hacking for cybersecurity.","ethical hacking, cybersecurity, technical, security"
IELTS Reading Practice Tests,English/IELTS,Intermediate,"Practice reading tests for IELTS success.","ielts, reading, practice, english"
CSS Essay Writing Prep Course,CSS,Intermediate,"Prepare for CSS essay writing with practice.","css, essay, prep, exam"
MDCAT Biology Practice Tests,MDCAT,Intermediate,"Practice biology tests for MDCAT exam.","mdcat, biology, practice, exam"
ISSB Group Planning Mastery Course,ISSB,Intermediate,"Master group planning for ISSB with practice.","issb, group planning, military, leadership"
